# Kalmasoft Databases
# Database of World Names (KDBWNAN)
# References: www.kalmasoft.com/KLEX/dbnames.htm, www.kalmasoft.com/KLEX/dbvarnam.htm
# Availability: Contact Kalmasoft
# Created: 30 Jun 2019
# Updated: 13 Jun 2026
# Encoding: UTF8
# Delimiter: TAB
# Total unique names: 8,000,000+
# Total with Arabic variants: contact Kalmasoft
# Writing scripts covered: 40+
# Languages covered: 50+
# Countries covered: 200+
# Copyright ©1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Attributes:
#	ID: 8 digits identification number, [N########]
#	Name: Name string in native script
#	Gender: Name gender
#		F: female
#		M: male
#		U: unisex
#	Type: Name type
#		C: common
#		G: given name
#		P: patronym
#		S: surname
#	Country: ISO 3166-3 three-letter country code
#	Origin: Name cultural origin.
#		ABS: Abyssinian
#		AFR: African
#		ARB: Arabic
#		ASN: Asian
#		BBL: Biblical
#		BNT: Bantu
#		HEB: Hebrew
#		HLN: Helinic
#		HND: Hindi
#		HSP: Hispanic
#		NAT: Native
#		SLV: Slavonic
#		WST: Western
#	Ethnicity: Name holder potential ethnic group, please refer to www.kalmasoft.com/code.htm#ethnic
#	Religion: Name holder potential religion.
#		BUDH: Buddhism
#		CRST: Christian
#		ISLM: Islam
#		HIND: Hinduism
#		JUDA: Judaism
#		SHNT: Shinto
#		SHAM: Shamanism
#		SIKH: Sikhism
#		TRAD: Traditional
#		NORG: No religion
#	Language: ISO639-3 three-letter language code.
#	Script: ISO15924 four-letter script code, please refer to www.kalmasoft.com/code.htm#lang
#	Complex: Script complex representation.
#	IPA:: International Phonetic Alphabet.
# =========================================
# Notes:
# (1) Country marker designates locale where the name is common or frequent.
# (2) Unisex marker assigns the gender within the designated locale.
# (3) For complex script like Arabic diacritics can be added on request.
# (4) On expansion, the 'Roman' field can be any other selected language.
# =========================================
ID	﻿Name	Gender	Type	Country	Origin	Ethnicity	Religion	Language	Script	Complex	IPA
N00000298	اسپانتا	F	G	IRN		Persa	ISLM	fas	Arab		/aspanta/
N00000299	اسپندياد	M	G	IRN		Persa	ISLM	fas	Arab		/aspndijad/
N00000300	اسپنديار	M	G	IRN		Persa	ISLM	fas	Arab		/aspndijar/
N00000301	اسپنوي	F	G	IRN		Persa	ISLM	fas	Arab		/aspnui/
N00000302	اسپيتامن	M	G	IRN		Persa	ISLM	fas	Arab		/aspitamn/
N00000303	استاتيرا	F	G	IRN		Persa	ISLM	fas	Arab		/astatira/
N00000304	اشک	F	G	IRN	ARB	Persa	ISLM	fas	Arab		/aʃik/
N00000305	اشکان	M	G	IRN		Persa	ISLM	fas	Arab		/aʃkan/
N00000306	اشکان	M	G	IRN		Persa	ISLM	fas	Arab		/aʃkan/
N00000307	اعظم	F	G	IRN	ARB	Persa	ISLM	fas	Arab		/aʕðˤim/
N00000308	اعلا	M	G	IRN	ARB	Persa	ISLM	fas	Arab		/aʕla/
N00000309	اغريرث	M	G	IRN		Persa	ISLM	fas	Arab		/aɣririθ/
N00000310	افتخارالدين	M	G	IRN	ARB	Persa	ISLM	fas	Arab		/aftχaraldin/
N00000311	افرا	F	G	IRN		Persa	ISLM	fas	Arab		/afra/
N00000312	افراسياب	M	G	IRN		Persa	ISLM	fas	Arab		/afrasijab/
N00000313	افرود	M	G	IRN		Persa	ISLM	fas	Arab		/afrud/
N00000314	افروز	F	G	IRN		Persa	ISLM	fas	Arab		/afruz/
N00000315	افروغ	F	G	IRN		Persa	ISLM	fas	Arab		/afruɣ/
N00000316	افريدون	M	G	IRN		Persa	ISLM	fas	Arab		/afridun/
N00000317	افرينا	F	G	IRN		Persa	ISLM	fas	Arab		/afrina/
N00000318	افسانه	F	G	IRN		Persa	ISLM	fas	Arab		/afsanah/
N00000319	افسر	F	G	IRN		Persa	ISLM	fas	Arab		/afsar/
N00000320	افسرخاتون	F	G	IRN		Persa	ISLM	fas	Arab		/afsarχatun/
N00000321	افسردخت	F	G	IRN		Persa	ISLM	fas	Arab		/afsarduχt/
N00000322	こざくら	F	G	JPN	NAT	Japan		jpn	Hira	小桜	/kozakuɽa/
N00000323	供川	M	S	JPN	NAT	Japan		jpn	Hani		
N00000324	供村	M	S	JPN	NAT	Japan		jpn	Hani		
N00000325	供田	M	S	JPN	NAT	Japan		jpn	Hani		
N00000326	供長	M	S	JPN	NAT	Japan		jpn	Hani		
N00000327	加三	M	S	JPN	NAT	Japan		jpn	Hani		
N00000328	加佐利	M	S	JPN	NAT	Japan		jpn	Hani		
N00000329	加佐原	M	S	JPN	NAT	Japan		jpn	Hani		
N00000330	加佐見	M	S	JPN	NAT	Japan		jpn	Hani		
N00000331	加坂	M	S	JPN	NAT	Japan		jpn	Hani		
N00000332	加差野	M	S	JPN	NAT	Japan		jpn	Hani		
N00000333	加座	M	S	JPN	NAT	Japan		jpn	Hani		
N00000334	加甲	M	S	JPN	NAT	Japan		jpn	Hani		
N00000335	和沙	M	G	JPN	NAT	Japan		jpn	Hani		
N00000336	喜乃子	F	G	JPN	NAT	Japan		jpn	Hani		
N00000337	大雅	M	G	JPN	NAT	Japan		jpn	Hani		
N00000338	恭子	F	G	JPN	NAT	Japan		jpn	Hani		
N00000339	数輝	M	G	JPN	NAT	Japan		jpn	Hani		
N00000340	浦冨	M	S	JPN	NAT	Japan		jpn	Hani		
N00000341	聡子	F	G	JPN	NAT	Japan		jpn	Hani		
N00000342	起き太	M	G	JPN	NAT	Japan		jpn	Hani		
N00000343	輝美	F	G	JPN	NAT	Japan		jpn	Hani		
N00000344	Cordova	M	S	MEX	HSP		CRST	spa	Latn		
N00000345	Corella	M	S	MEX	HSP		CRST	spa	Latn		
N00000346	Corichi	M	S	MEX	HSP		CRST	spa	Latn		
N00000347	Cornejo	M	S	MEX	HSP		CRST	spa	Latn		
N00000348	Coronel	M	S	MEX	HSP		CRST	spa	Latn		
N00000349	Cortaza	M	S	MEX	HSP		CRST	spa	Latn		
N00000350	Cortina	M	S	MEX	HSP		CRST	spa	Latn		
N00000351	Corvera	M	S	MEX	HSP		CRST	spa	Latn		
N00000352	Jose	M	C	MEX	BBL		CRST	spa	Latn		
N00000353	José	M	G	MEX	BBL		CRST	spa	Latn		
N00000354	Jova	F	G	MEX	BBL		CRST	spa	Latn		
N00000355	Joya	M	S	MEX	BBL		CRST	spa	Latn		
N00000356	Juan	F	G	MEX	BBL		CRST	spa	Latn		
N00000357	Abániṣélolúwa	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000358	Abániwọ́ndá	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000359	Abátàn	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000360	Abégúndé	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000361	Abégúnrìn	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000362	Abéjidé	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000363	Abéjirìn	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000364	Abésùjobì	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000365	Abéṣùpínlẹ̀	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000366	Abídákun	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000367	Kádijú	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000368	Kádùndé	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000369	Kájọpẹ́láyéọlá	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000370	Kájọwá	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000371	Kálènìkànṣe	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000372	Kámíyẹ	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000373	Kányìnọlá	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000374	Kányinsọ́lá	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000375	Káríọlá	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000376	Káróhunwí	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000377	Ọbásanjọ́	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000378	Odùgbèmí	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000379	Odùgbẹ̀san	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000380	Odùgùwà	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000381	Odùjọbí	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000382	Odùkálé	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000383	Odùkẹ́yẹ	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000384	Odùkọ̀yà	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000385	Odùlánà	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000386	Olúṣẹ́gun	M	G	NGA	AFR	Yorba	CRST	yor	Latn		
N00000387	Angela	F	G					fra	Latn		
N00000388	Angelina	F	G					fra	Latn		
N00000389	Nathan	M	G		HEB			fra	Latn		
N00000390	Nelson	M	G					fra	Latn		
N00000391	Nicolas	M	G					fra	Latn		
N00000394	Philip	M	G					fra	Latn		
N00000395	Philipe	M	G					fra	Latn		
N00000396	Stephan	M	G					fra	Latn		
N00000397	Stephane	M	G					fra	Latn		
N00000398	Steve	M	G					fra	Latn		
N00000399	Steven	M	G					fra	Latn		
N00000400	اختر	F	G	PAK			ISLM	urd	Arab		/aχtar/
N00000401	ادیبہ	F	G	PAK			ISLM	urd	Arab		/adiːbah/
N00000402	ارشاد	F	G	PAK	ARB		ISLM	urd	Arab		/arʃad/
N00000403	ارفعہ	F	G	PAK			ISLM	urd	Arab		/arfaʕah/
N00000404	ازاحت	F	G	PAK			ISLM	urd	Arab		/azaħat/
N00000405	ازاحت النساء	F	G	PAK	ARB		ISLM	urd	Arab		/azaħt ʔnisaʔ/
N00000406	اسوہ	F	G	PAK			ISLM	urd	Arab		/aswah/
N00000407	افرہ	F	G	PAK			ISLM	urd	Arab		/afrah/
N00000408	اقالہ	F	G	PAK			ISLM	urd	Arab		/aqalah/
N00000409	اقصی	F	G	PAK	ARB		ISLM	urd	Arab		/aqsˤa/
N00000410	الطاف النساء	F	G	PAK	ARB		ISLM	urd	Arab		/ʔltˤaːf ʔnisaʔ/
N00000411	فاطمہ	F	G	PAK	ARB		ISLM	urd	Arab		/faːtˤimah/
N00000412	کلثوم	F	G	PAK	ARB		ISLM	urd	Arab		/kalθuːm/
N00000413	Арвелод	M		RUS	SLV	Rusia		rus	Cyrl		/arvelod/
N00000414	Арвидас	M		RUS	SLV	Rusia		rus	Cyrl		/arvidas/
N00000415	Аргенал	M		RUS	SLV	Rusia		rus	Cyrl		/argenal/
N00000416	Ардеван	M		RUS	SLV	Rusia		rus	Cyrl		/ardevan/
N00000417	Дуболазов	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉbolazov/
N00000418	Дубровский	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉbrovski/
N00000419	Дудин	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉdin/
N00000420	Дудко	M	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉdko/
N00000421	Дудник	M	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉdnik/
N00000422	Дульцев	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉltsev/
N00000423	Думановский	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉmanovski/
N00000424	Дунаевский	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉnaevski/
N00000425	Дураничев	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉranitɕev/
N00000426	Дуров	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉrov/
N00000427	Дурченко	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dʉrtɕenko/
N00000428	Дырбов	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dɨrbov/
N00000429	Дыховичный	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dɨxovitɕni/
N00000430	Дюженков	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/djʐenkov/
N00000431	Дятлов	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/dætlov/
N00000432	Евдокимов	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/evdokimov/
N00000433	Егор	M		RUS	SLV	Rusia	CRST	rus	Cyrl		/egor/
N00000434	Ежов	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/eʐov/
N00000435	Любов	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/lijobov/
N00000436	Мила	F	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/mila/
N00000437	Милада	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/milada/
N00000438	Миладин	F	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/miladin/
N00000439	Милаида	F	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/milajda/
N00000440	Милан	F	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/milan/
N00000441	Милана	F	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/milana/
N00000442	Миланья	F	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/milanjæ/
N00000443	Милауша	F	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/milaʉʂa/
N00000444	Милауша	F	G	RUS	SLV	Rusia	CRST	rus	Cyrl		/milaʉʂa/
N00000445	Милетина	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/miletina/
N00000446	Милослав	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/miloslav/
N00000447	Сервер	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/server/
N00000448	Сергей	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/sergej/
N00000449	Сергей	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/sergej/
N00000450	Серго	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/sergo/
N00000451	Серго	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/sergo/
N00000452	Сердар	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/serdar/
N00000453	Сережа	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/sereʐa/
N00000454	Сержик	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/serʐik/
N00000455	Сероб	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/serob/
N00000456	Серож	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/seroʐ/
N00000457	Сероп	M	S	RUS	SLV	Rusia	CRST	rus	Cyrl		/serop/
N00000458	Сетрак	M	S	RUS	BBL	Rusia	CRST	rus	Cyrl		/setrak/
N00000459	Ayişe	F	G	TUR	ARB	Turks	ISLM	tur	Latn		
N00000460	Aykaç	M	G	TUR	NAT	Turks		tur	Latn		
N00000461	Aykal	M	G	TUR	NAT	Turks		tur	Latn		
N00000462	Aykan	M	G	TUR	NAT	Turks		tur	Latn		
N00000463	Aykaş	F	G	TUR	NAT	Turks		tur	Latn		
N00000464	Aykatun	F	G	TUR	NAT	Turks		tur	Latn		
N00000465	Aykiz	F	G	TUR	NAT	Turks		tur	Latn		
N00000466	Aykul	M	G	TUR	NAT	Turks		tur	Latn		
N00000467	Aykurt	M	G	TUR	NAT	Turks		tur	Latn		
N00000468	Fevzullah	M	G	TUR	ARB		ISLM	tur	Latn		
N00000469	Igobeko	M	S	TZA	BNT	Masai		eng	Latn		
N00000470	Igogo	M	G	TZA	BNT	Masai		eng	Latn		
N00000471	Igoko	M	C	TZA	BNT	Masai		eng	Latn		
N00000472	Igonda	M	S	TZA	BNT	Masai		eng	Latn		
N00000473	Igulu	M	S	TZA	BNT	Masai		eng	Latn		
N00000474	Iguna	M	S	TZA	BNT	Masai		eng	Latn		
N00000475	Igunda	M	S	TZA	BNT	Masai		eng	Latn		
N00000476	Igunila	M	G	TZA	BNT	Masai		eng	Latn		
